1;CA-2016-152156;08/11/16;11/11/16;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261.96;2;0;419.136
2;CA-2016-152156;08/11/16;11/11/16;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs. Rounded Back;731.94;3;0;219.582
3;CA-2016-138688;12/06/16;16/06/16;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;0,626388889;2;0;68.714
4;US-2015-108966;11/10/15;18/10/15;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;9.575.775;5;00.45;-383.031
5;US-2015-108966;11/10/15;18/10/15;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22.368;2;00.02;25.164
6;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories. Cherry Wood;48.86;7;0;141.694
7;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;07.28;4;0;19.656
8;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907.152;6;00.02;907.152
9;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;;3;00.02;57.825
10;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;;5;;34.47.00
11;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;;;;853.092
12;CA-2014-115812;09/06/14;14/06/14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;;;;683.568
13;CA-2017-114412;15/04/17;20/04/17;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;;;;54.432
14;CA-2016-161389;05/12/16;10/12/16;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;;;;13.259.220.000
15;US-2015-118983;22/11/15;26/11/15;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner. Very Large Room. HEPA Filter;;;;-123.858
16;US-2015-118983;22/11/15;26/11/15;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;;;00.08;-3.816
17;CA-2014-105893;11/11/14;18/11/14;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving. Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";;;0;133.176
18;CA-2014-167164;13/05/14;15/05/14;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;;2;0;0,44375
19;CA-2014-143336;27/08/14;01/09/14;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;;2;0;24.824
20;CA-2014-143336;27/08/14;01/09/14;;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;california;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;;3;00.02;16.011
21;CA-2014-143336;27/08/14;01/09/14;;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;california;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder. White. 1""";;4;00.02;7.384
22;CA-2016-137330;09/12/16;13/12/16;;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;;7;0;50.596
23;CA-2016-137330;09/12/16;13/12/16;;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip. 4' Cord Length;60.34.00;7;0;156.884
24;US-2017-156909;16/07/17;18/07/17;;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair. Gray;71.372;2;00.03;-10.196
